date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:16	21481/21481	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:16%20GMT	https://www.makeding.com/	C:/My%20Websites/mkd/index-2.html	(from )
21:06:16	232/232	U-----	200	untouched ('OK')	text/plain	etag:%225e9d67c9-e8%22	https://www.makeding.com/robots.txt		(from )
21:06:16	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f252523d4af0b478c810c2547a63e19%22	https://cdn.mairuan.com/cdn/common/js/jquery.js	C:/My%20Websites/mkd/cdn/common/js/jquery.js	(from https://www.makeding.com/)
21:06:16	19778/19778	U-----	200	untouched ('OK')	text/css	etag:W/%229097e7972b059ecae0f5bb78a0186f71%22	https://cdn.mairuan.com/cdn/swiper/css/swiper.min.css?ver=1.227	C:/My%20Websites/mkd/cdn/swiper/css/swiper.min22c7.css	(from https://www.makeding.com/)
21:06:16	396607/396607	U-----	200	untouched ('OK')	text/css	etag:W/%22a3d6c96e41c687549576bbb54c47aa72%22	https://cdn.mairuan.com/cdn/common/css/common.css?ver=1.227	C:/My%20Websites/mkd/cdn/common/css/common22c7.css	(from https://www.makeding.com/)
21:06:16	1167/1167	U-----	200	untouched ('OK')	text/css	etag:W/%223be6095a3d5009a70c380c7e547a6c3b%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/foot_mr.css	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/css/foot_mr.css	(from https://www.makeding.com/)
21:06:16	69568/69568	U-----	200	untouched ('OK')	text/css	etag:W/%22a71836754e4089ac71b6a9081bf186d2%22	https://cdn.mairuan.com/cdn/layui/css/layui.css?ver=1.227	C:/My%20Websites/mkd/cdn/layui/css/layui22c7.css	(from https://www.makeding.com/)
21:06:16	60172/60172	U-----	200	untouched ('OK')	text/css	etag:W/%22128a77f6c70dfabbaebaadc04d1f3ee8%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/css/menu_mrc924.css	(from https://www.makeding.com/)
21:06:16	127934/127934	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253fc0155c6c3cb55f34b749325ebb370%22	https://cdn.mairuan.com/cdn/swiper/js/swiper.min.js	C:/My%20Websites/mkd/cdn/swiper/js/swiper.min.js	(from https://www.makeding.com/)
21:06:16	4668/4668	U-----	200	untouched ('')	application/javascript	etag:W/%2245ad7480ebe1377d3b32bae529c60899%22	https://cdn.mairuan.com/cdn/common/js/jquery.base64.js	C:/My%20Websites/mkd/cdn/common/js/jquery.base64.js	(from https://www.makeding.com/)
21:06:17	261281/261281	U-----	200	untouched ('')	application/javascript	etag:W/%22ff72aa61a7f5fa577afcf51c2fc37951%22	https://cdn.mairuan.com/cdn/layui/layui.all.js	C:/My%20Websites/mkd/cdn/layui/layui.all.js	(from https://www.makeding.com/)
21:06:17	6987/6987	---M--	200	added ('OK')	image/png	etag:%22ce8d4075b2835c898ad615a5a9546c9d%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon1.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon1.png	(from https://www.makeding.com/)
21:06:17	5275/5275	---M--	200	added ('OK')	image/png	etag:%22087aa50084b7977e20ec78f545d112fd%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon2.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon2.png	(from https://www.makeding.com/)
21:06:17	34550/34550	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:17%20GMT	https://www.makeding.com/products.html	C:/My%20Websites/mkd/products.html	(from https://www.makeding.com/)
21:06:17	10637/10637	---M--	200	added ('OK')	image/png	etag:%22bcc3135da8cd50603a6b0026ec780f94%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon3.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon3.png	(from https://www.makeding.com/)
21:06:17	8925/8925	---M--	200	added ('OK')	image/png	etag:%221cfd960d3e36622ff1c058d59b3a0433%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon4.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon4.png	(from https://www.makeding.com/)
21:06:18	9119/9119	---M--	200	added ('OK')	image/png	etag:%221dac367327e3cb33780dc41dd4805c0f%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon5.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon5.png	(from https://www.makeding.com/)
21:06:18	206036/206036	---M--	200	added ('OK')	image/jpeg	etag:%22d35404c6253b3b37b730f974530c2d19%22	http://pic.mairuan.com/WebSource/makedingzh/web/images/news_2020nz.jpg	C:/My%20Websites/mkd/WebSource/makedingzh/web/images/news_2020nz.jpg	(from https://www.makeding.com/)
21:06:18	13972/13972	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:18%20GMT	https://www.makeding.com/gongsizixun/	C:/My%20Websites/mkd/gongsizixun/index.html	(from https://www.makeding.com/)
21:06:18	10612/10612	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:18%20GMT	https://www.makeding.com/about.html	C:/My%20Websites/mkd/about.html	(from https://www.makeding.com/)
21:06:19	3327/3327	---M--	200	added ('OK')	image/gif	etag:%221b93c781a53beda815e80a84d1489a84%22	https://pic.mairuan.com/icon/button_11.gif	C:/My%20Websites/mkd/icon/button_11.gif	(from https://www.makeding.com/)
21:06:20	13589/13589	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:19%20GMT	https://www.makeding.com/event.html	C:/My%20Websites/mkd/event.html	(from https://www.makeding.com/)
21:06:20	10470/10470	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:19%20GMT	https://www.makeding.com/achieve.html	C:/My%20Websites/mkd/achieve.html	(from https://www.makeding.com/)
21:06:20	10800/10800	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:19%20GMT	https://www.makeding.com/idea.html	C:/My%20Websites/mkd/idea.html	(from https://www.makeding.com/)
21:06:20	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789576	C:/My%20Websites/mkd/load.min6ab6.js	(from https://www.makeding.com/)
21:06:20	243052/243052	---M--	200	added ('OK')	image/jpeg	etag:%22faa2fd9501d7045bacb670b291ee66aa%22	http://pic.mairuan.com/WebSource/makedingzh/web/images/news_ibm.jpg	C:/My%20Websites/mkd/WebSource/makedingzh/web/images/news_ibm.jpg	(from https://www.makeding.com/)
21:06:20	4879/4879	U-----	200	untouched ('')	image/png	etag:%224e77d71ae00d516e20d21f3032690a31%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon6.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon6.png	(from https://www.makeding.com/)
21:06:20	13700/13700	U-----	200	untouched ('')	image/png	etag:%2211f2c019596cddde91689573aae5c4a9%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon7.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon7.png	(from https://www.makeding.com/)
21:06:20	11290/11290	U-----	200	untouched ('')	image/png	etag:%22557b5ad0988644fc2823423f943072ed%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon8.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon8.png	(from https://www.makeding.com/)
